position	CpG_p	CpG_m	CHG_p	CHG_m	CHH_p	CHH_m	Methylation	Base	Total
1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.28	0.28
2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.76	1.76
3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.50	1.50
4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.35	0.35
5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.05	2.05
6	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.03	2.03
7	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.96	1.96
8	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.94	1.94
9	0.00	0.00	0.00	0.00	0.00	0.00	0.01	1.02	1.03
10	0.04	0.00	0.00	0.00	0.00	0.00	0.05	0.13	0.17
11	0.00	0.06	0.00	0.00	0.00	0.00	0.06	0.48	0.54
12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.55	0.55
