position	CpG_p	CpG_m	CHG_p	CHG_m	CHH_p	CHH_m	Methylation	Base	Total
1	0.01	0.01	0.00	0.00	0.00	0.00	0.01	0.16	0.17
2	0.01	0.00	0.00	0.00	0.00	0.00	0.01	0.20	0.21
3	0.01	0.01	0.00	0.00	0.00	0.00	0.02	0.32	0.34
4	0.02	0.00	0.00	0.00	0.00	0.01	0.04	1.44	1.47
5	0.03	0.01	0.00	0.00	0.00	0.00	0.04	0.70	0.75
6	0.00	0.02	0.00	0.00	0.00	0.00	0.02	1.48	1.50
7	0.01	0.00	0.00	0.00	0.00	0.00	0.01	1.05	1.06
8	0.01	0.00	0.00	0.00	0.00	0.00	0.01	1.24	1.25
9	0.01	0.01	0.00	0.00	0.00	0.00	0.01	0.38	0.39
10	0.02	0.00	0.00	0.00	0.00	0.02	0.04	1.59	1.63
11	0.02	0.01	0.00	0.00	0.00	0.00	0.03	0.48	0.52
12	0.01	0.02	0.00	0.00	0.00	0.00	0.03	0.91	0.94
13	0.01	0.01	0.00	0.00	0.00	0.00	0.01	0.07	0.08
14	0.01	0.01	0.00	0.00	0.00	0.00	0.01	0.19	0.20
