position	CpG_p	CpG_m	CHG_p	CHG_m	CHH_p	CHH_m	Methylation	Base	Total
1	0.08	0.08	0.00	0.00	0.00	0.00	0.16	0.13	0.29
2	0.07	0.08	0.00	0.00	0.00	0.00	0.15	0.28	0.43
3	0.16	0.09	0.00	0.00	0.00	0.00	0.26	0.69	0.95
4	0.01	0.03	0.00	0.00	0.00	0.00	0.03	0.37	0.40
5	0.00	0.22	0.00	0.01	0.00	0.00	0.23	2.21	2.44
6	0.00	0.01	0.00	0.00	0.00	0.00	0.01	1.57	1.58
7	0.04	0.01	0.00	0.00	0.00	0.11	0.16	1.23	1.39
8	0.00	0.05	0.00	0.00	0.10	0.00	0.15	1.66	1.81
9	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.65	1.65
10	0.19	0.00	0.01	0.00	0.00	0.00	0.19	2.22	2.41
11	0.03	0.01	0.00	0.00	0.00	0.00	0.04	0.48	0.52
12	0.07	0.14	0.00	0.00	0.00	0.00	0.22	0.82	1.04
13	0.07	0.06	0.00	0.00	0.00	0.00	0.13	0.28	0.41
14	0.09	0.06	0.00	0.00	0.00	0.00	0.15	0.13	0.28
