position	CpG_p	CpG_m	CHG_p	CHG_m	CHH_p	CHH_m	Methylation	Base	Total
1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.27	0.27
2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.35	0.35
3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.93	0.94
4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.50	1.50
5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.40	1.40
6	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.88	0.88
7	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.54	1.55
8	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.43	1.43
9	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.94	0.95
10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.69	0.69
11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.43	0.43
12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.17	0.17
13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.05
14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.06
15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.04
