position	CpG_p	CpG_m	CHG_p	CHG_m	CHH_p	CHH_m	Methylation	Base	Total
1	0.05	0.04	0.00	0.00	0.00	0.00	0.10	0.45	0.55
2	0.06	0.04	0.00	0.00	0.00	0.00	0.10	0.18	0.28
3	0.00	0.05	0.00	0.00	0.00	0.00	0.06	0.76	0.82
4	0.01	0.00	0.00	0.00	0.00	0.00	0.01	2.09	2.10
5	0.00	0.01	0.00	0.00	0.00	0.00	0.02	0.75	0.78
6	0.04	0.00	0.00	0.00	0.00	0.00	0.04	1.06	1.10
7	0.00	0.04	0.00	0.00	0.00	0.00	0.04	0.97	1.01
8	0.00	0.00	0.00	0.00	0.00	0.00	0.01	1.89	1.89
9	0.02	0.00	0.00	0.00	0.00	0.00	0.02	1.41	1.43
10	0.00	0.01	0.00	0.00	0.00	0.00	0.01	1.28	1.30
11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.66	1.66
12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.23	2.23
13	0.10	0.00	0.00	0.00	0.00	0.00	0.10	0.48	0.58
14	0.02	0.10	0.00	0.01	0.00	0.00	0.12	0.60	0.72
15	0.06	0.02	0.00	0.00	0.00	0.00	0.09	0.23	0.33
