position	CpG_p	CpG_m	CHG_p	CHG_m	CHH_p	CHH_m	Methylation	Base	Total
1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.10
2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.08
3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.09
4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.08
5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.02
6	0.01	0.00	0.00	0.00	0.00	0.00	0.01	0.03	0.04
7	0.00	0.01	0.00	0.00	0.00	0.00	0.02	0.03	0.05
8	0.01	0.00	0.00	0.00	0.00	0.00	0.01	0.07	0.07
9	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.07
10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.07
11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.05
