0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
0	15	26	15	15	0	28	9	28	0	7	28	28	0	0
18	18	0	0	22	0	18	0	18	0	24	14	20	14	14
0	38	46	0	37	0	45	0	44	0	36	48	0	51	0
0	45	0	0	42	0	54	0	0	0	46	53	0	48	0
56	0	0	0	47	0	49	0	51	0	46	52	0	43	0
0	25	52	0	23	0	53	0	53	0	0	51	50	0	0
0	0	16	0	23	0	15	0	15	0	21	15	0	15	0
0	0	0	0	60	0	34	0	35	0	61	36	0	0	0
8	8	7	0	8	8	7	0	8	0	8	8	8	0	0
6	36	8	0	48	0	9	0	9	0	0	5	40	0	47
40	5	0	0	9	0	9	0	48	0	8	36	6	47	30
0	0	5	0	41	0	6	0	6	0	8	1	38	8	0
0	2	0	0	22	0	14	0	1	3	19	13	0	13	0
3	0	3	0	5	0	3	0	3	0	6	2	0	0	6
33	0	0	0	40	43	31	0	30	0	42	30	30	0	0
0	33	35	0	34	0	34	0	35	0	33	36	37	0	0
37	36	33	0	35	0	34	0	34	0	35	33	0	0	0
22	22	22	0	22	0	11	0	12	0	18	11	0	18	0
0	11	18	0	12	0	11	0	22	0	22	22	22	0	12
0	19	15	0	0	0	14	0	12	0	19	0	0	0	0
0	0	34	0	35	0	0	0	13	0	29	13	0	0	0
8	0	14	7	7	7	14	0	13	0	7	0	13	7	0
0	13	0	7	13	0	7	0	13	0	14	7	7	7	14
0	7	0	13	7	0	13	0	11	0	12	14	12	15	0
51	39	39	7	6	0	0	0	39	0	45	40	40	0	40
43	43	0	0	21	0	43	0	43	19	17	42	0	22	0
0	16	25	0	0	0	24	0	24	0	15	24	0	0	0
0	26	24	0	28	0	19	0	28	0	28	17	0	0	0
0	7	24	0	0	0	26	0	27	0	12	27	0	0	0
1	0	1	0	24	0	1	0	1	0	0	1	0	0	0
0	0	16	0	23	0	20	0	20	0	25	19	0	19	0
0	0	14	0	14	0	14	0	14	0	14	14	0	14	0
4	27	0	0	5	0	20	0	20	0	5	20	0	26	0
0	45	45	0	19	0	46	46	45	0	20	40	0	25	0
0	5	5	0	6	0	8	0	7	0	10	8	0	8	2
42	42	0	0	38	0	42	0	30	0	41	33	0	42	36
0	13	16	0	13	0	13	0	13	0	13	12	11	11	0
11	12	13	0	13	0	13	0	13	0	16	13	0	13	0
30	0	0	0	28	0	28	0	32	0	28	33	0	28	0
29	0	39	0	39	0	36	0	25	0	36	25	0	36	0
0	29	42	0	30	42	43	0	43	0	32	43	0	29	0
1	0	5	0	0	0	5	0	5	0	0	5	5	0	0
10	9	10	0	33	0	10	0	10	0	30	1	1	5	8
1	0	26	0	44	0	27	0	24	0	44	0	0	26	0
0	0	44	0	24	0	27	0	44	0	26	0	1	0	0
4	1	43	0	16	0	42	0	39	0	23	23	47	0	0
47	23	23	0	39	0	42	0	16	0	43	1	4	43	19
18	2	2	0	28	0	18	0	18	0	27	17	0	18	18
