0	1	2	3	4	5	6	7	8	9	10	11
13	10	13	13	0	13	11	0	11	11	0	0
35	0	18	35	0	17	43	0	48	24	44	44
19	5	19	20	0	19	5	0	5	19	0	5
15	0	22	22	0	22	15	0	16	16	16	21
28	0	28	30	0	30	43	0	45	0	39	0
35	26	26	25	0	25	36	0	36	36	37	0
36	36	35	35	0	33	39	33	40	35	0	0
0	21	12	21	0	21	12	0	12	21	0	0
16	16	0	0	0	0	16	0	15	16	16	16
0	0	27	27	0	28	21	0	20	20	0	20
5	5	5	5	0	6	32	0	31	31	6	6
0	0	39	43	0	47	44	0	50	43	0	0
24	4	23	23	0	23	5	0	5	0	24	0
0	0	15	15	0	15	15	0	15	16	15	0
23	23	28	23	0	23	34	0	34	34	0	0
34	0	35	35	0	34	22	0	22	22	21	0
0	19	33	34	0	34	20	0	20	0	20	20
0	11	1	11	0	11	1	0	1	8	8	1
1	1	11	11	0	11	2	0	2	2	2	12
21	12	12	12	0	12	21	0	21	0	0	21
18	0	0	18	0	18	0	0	0	14	14	0
0	24	23	22	0	22	11	0	9	22	0	23
6	6	6	6	0	6	8	0	0	8	8	8
0	0	36	35	0	35	41	0	39	39	0	36
22	31	0	24	0	25	31	0	31	29	0	29
0	25	10	10	0	10	29	0	29	29	10	0
9	7	7	7	0	7	22	0	22	22	22	0
0	22	22	22	0	22	0	0	15	11	0	11
13	13	6	6	0	6	13	0	15	15	0	15
0	0	14	14	0	11	6	0	6	12	0	15
27	24	27	27	24	27	24	0	24	28	28	23
25	30	25	25	0	26	34	0	34	0	0	0
15	15	15	15	0	24	24	0	24	11	0	13
33	0	11	11	0	11	33	0	33	0	34	21
0	40	40	41	0	25	24	0	25	36	36	36
22	3	24	0	0	24	2	0	2	24	24	2
0	0	0	0	0	0	19	0	19	19	19	0
4	4	5	5	0	5	5	0	5	3	5	4
20	19	24	24	0	0	16	0	16	16	0	16
0	9	9	9	0	9	32	0	26	9	0	9
16	19	19	19	0	19	16	0	16	16	19	19
20	15	21	21	0	21	22	0	20	22	22	0
27	24	27	26	0	26	20	0	22	22	27	0
0	10	3	3	0	3	10	0	10	3	9	3
0	0	17	17	0	16	0	0	0	19	0	0
20	13	13	13	0	11	18	0	20	0	19	19
0	23	29	0	0	29	23	0	22	32	32	32
7	5	7	7	0	6	5	0	5	0	10	10
23	23	20	20	0	20	21	0	21	21	21	20
0	21	21	20	0	20	0	0	7	20	7	20
32	29	29	29	0	34	30	0	30	34	0	34
23	14	28	28	0	28	28	0	19	27	0	18
33	33	33	14	0	14	32	0	32	14	0	14
0	0	25	25	0	25	39	0	38	38	24	0
0	11	24	24	0	25	12	0	12	12	0	12
0	32	0	18	0	18	33	0	33	33	18	32
0	0	33	34	0	34	16	0	15	0	0	0
0	26	23	24	0	24	26	0	26	26	25	0
0	18	19	19	0	0	51	0	52	19	0	48
17	0	17	17	0	17	8	0	8	19	0	19
20	0	20	20	0	20	19	0	19	20	20	20
20	0	18	17	0	18	16	0	12	12	18	12
10	0	18	18	0	18	8	0	8	8	17	17
0	39	0	38	0	35	27	0	27	35	0	35
0	14	15	16	0	14	14	0	27	15	15	0
6	0	7	7	0	0	12	0	12	7	7	12
4	0	3	3	0	3	12	0	12	0	3	3
0	0	25	13	0	14	25	0	27	27	0	0
8	14	9	9	0	11	0	0	9	8	9	0
7	0	8	7	0	7	10	7	10	7	10	0
0	14	14	16	0	16	5	0	6	0	0	0
0	0	28	28	0	30	0	0	0	0	26	26
0	18	16	18	0	18	20	0	20	0	0	19
20	0	20	20	0	20	21	0	21	20	20	20
15	15	18	18	0	17	15	15	15	14	14	14
13	0	13	13	0	14	14	0	15	14	0	13
19	34	34	38	0	38	22	0	22	37	0	0
5	9	5	5	0	6	9	5	9	5	5	5
17	17	7	7	0	7	16	0	16	16	7	7
17	18	2	2	0	2	20	0	20	2	0	20
16	16	20	18	0	18	23	0	23	12	0	0
2	0	14	14	2	14	4	0	4	14	0	4
0	25	63	62	0	65	23	0	28	65	0	0
11	0	11	11	0	11	15	0	15	11	0	14
24	23	24	24	0	26	23	0	23	23	23	24
27	34	27	33	0	33	27	0	27	0	30	30
0	21	27	0	0	28	35	0	35	29	0	34
22	10	10	10	0	10	22	0	23	13	23	23
0	13	24	24	0	23	13	0	14	24	0	14
8	22	22	22	0	22	8	0	0	22	0	7
14	13	30	30	0	30	15	0	17	30	0	16
5	19	5	5	21	5	21	0	20	5	21	5
24	24	24	24	0	23	8	0	8	24	8	24
21	16	16	16	0	15	22	0	22	22	0	15
0	9	19	19	0	18	9	0	9	0	9	20
0	0	25	25	0	25	10	0	10	25	0	29
13	0	0	13	0	13	28	0	26	12	0	12
0	37	36	36	0	36	25	0	25	26	26	35
0	0	21	12	0	12	21	0	21	12	21	0
16	16	16	15	0	16	0	0	0	0	16	16
20	0	20	20	0	21	28	0	27	27	0	0
6	6	31	31	0	32	6	0	5	5	5	5
0	0	43	50	0	44	47	0	43	39	0	0
0	24	0	5	0	5	23	0	23	23	4	24
0	15	16	15	0	15	15	0	15	15	0	0
0	0	34	34	0	34	23	0	23	28	23	23
0	21	22	22	0	22	34	0	35	35	0	34
18	0	18	18	0	19	51	51	51	18	0	18
1	8	8	1	0	1	11	0	11	1	11	0
0	16	15	15	0	15	10	0	10	15	15	15
12	2	2	2	0	2	11	0	11	11	1	1
14	14	0	4	0	4	14	0	12	4	4	0
0	14	14	0	0	0	18	0	18	0	0	18
0	0	15	15	0	15	18	0	18	13	0	13
7	8	15	15	0	13	9	0	9	14	0	9
36	0	39	39	0	41	35	0	35	36	0	0
33	11	33	33	0	33	34	0	14	35	0	9
24	23	22	22	0	22	10	0	10	27	10	10
29	0	29	31	0	31	25	0	24	0	31	22
0	10	29	29	0	29	10	0	10	10	25	0
0	22	22	22	0	22	7	0	7	7	7	9
15	0	15	15	0	13	6	0	6	6	13	13
19	19	13	13	0	13	20	0	0	14	0	12
0	0	11	11	0	11	26	0	26	0	11	0
42	39	41	41	0	0	42	0	41	44	0	44
0	11	27	27	0	27	0	0	12	29	12	30
0	0	17	17	0	17	22	22	22	17	18	0
0	20	10	10	0	10	20	0	19	0	10	0
0	19	19	19	0	19	0	0	0	0	0	0
29	29	29	29	0	28	14	0	0	31	0	14
0	0	43	45	41	45	40	0	40	44	0	0
18	19	18	17	19	17	19	0	19	17	19	0
0	14	18	19	0	19	25	0	25	19	0	23
19	19	16	16	0	16	19	0	19	19	19	16
0	27	22	22	0	20	26	0	26	27	24	27
0	3	13	13	0	14	14	0	3	13	3	13
0	0	6	6	0	8	9	0	8	0	8	0
0	0	0	23	0	23	28	0	28	18	0	0
34	11	34	32	11	30	11	0	12	31	0	31
0	0	25	25	0	0	24	0	21	24	0	0
15	0	0	12	0	12	14	0	14	13	0	0
10	10	0	5	0	5	6	0	7	7	5	7
20	21	21	21	0	21	20	0	20	20	23	23
0	21	16	16	0	16	25	0	27	18	0	0
14	0	14	32	0	32	14	0	14	33	33	33
0	32	32	32	0	0	14	0	14	32	0	32
0	24	38	38	0	39	25	0	25	25	0	0
12	0	12	12	0	12	25	0	24	24	11	0
19	48	19	19	0	21	48	0	23	23	0	60
32	18	33	33	0	33	18	0	18	0	32	0
16	16	23	23	0	23	14	0	14	23	13	23
16	16	28	28	0	16	16	0	16	28	15	27
0	25	26	26	0	26	24	0	24	23	26	0
22	22	26	26	0	19	28	0	27	29	0	28
0	0	21	21	0	21	41	0	35	21	0	37
36	15	36	36	0	37	14	0	14	34	34	34
13	13	13	6	0	0	31	0	29	11	11	29
1	20	1	1	0	1	20	1	14	1	1	14
12	18	12	12	0	16	18	0	17	18	0	20
17	17	8	8	0	8	18	0	18	18	0	10
11	2	2	2	0	2	16	0	16	0	0	15
33	0	30	30	0	28	33	0	34	34	0	0
0	0	27	27	0	25	14	0	13	25	0	0
0	0	0	6	0	5	16	0	16	14	14	0
20	20	20	21	0	21	20	0	20	20	0	20
0	4	4	2	0	0	44	0	42	3	0	0
39	0	35	36	0	36	29	0	29	35	0	0
0	10	39	38	0	39	11	0	11	0	37	0
5	12	12	20	24	24	8	0	8	26	8	8
0	54	47	47	0	0	55	0	54	43	41	41
7	7	16	16	0	16	7	0	7	7	17	17
13	9	13	13	0	13	9	13	9	13	0	13
0	7	15	17	0	17	7	7	7	17	0	17
0	0	12	23	0	23	18	0	18	20	16	16
0	0	26	26	26	25	26	0	26	25	25	25
24	23	23	23	0	23	26	0	24	24	23	24
30	30	0	27	0	27	33	0	33	27	34	27
0	0	27	27	0	26	0	0	18	27	18	29
0	19	19	20	0	20	22	0	22	20	23	23
0	0	0	2	0	2	12	0	12	2	2	12
4	0	8	8	0	8	4	0	4	0	8	0
4	7	0	7	0	7	4	0	5	5	5	5
0	0	14	14	0	14	12	0	12	14	14	14
0	12	12	12	0	12	16	0	16	16	0	15
0	0	0	30	0	30	22	0	20	20	0	0
0	0	16	29	0	29	16	0	16	15	32	15
1	8	1	1	0	1	8	0	8	0	6	6
0	11	12	12	0	12	11	0	11	11	0	13
0	34	34	34	0	34	26	0	26	34	26	37
29	0	33	29	0	29	29	0	29	0	25	29
9	0	9	9	0	9	17	0	17	0	0	9
32	32	20	31	0	39	19	0	19	19	0	0
9	0	9	9	0	7	9	7	9	7	7	0
34	27	0	25	0	25	31	0	31	25	32	25
23	9	9	10	0	0	25	0	24	9	0	9
0	35	44	45	0	45	35	0	36	36	46	48
0	45	27	27	0	27	49	0	49	49	26	0
0	28	13	12	0	12	28	0	28	26	12	26
0	7	5	7	0	7	5	0	7	0	8	0
0	29	29	30	0	30	18	0	18	0	0	0
12	0	14	14	0	0	30	0	27	14	27	0
2	0	2	1	0	1	2	0	2	1	1	3
7	15	15	15	0	15	8	0	8	7	8	0
7	9	8	8	0	8	8	0	11	8	11	8
51	51	0	53	0	53	49	0	49	49	0	0
9	0	8	8	8	8	13	0	13	8	8	13
10	0	12	15	0	15	10	0	10	0	0	0
0	0	23	23	0	23	37	0	31	23	29	23
4	11	7	4	0	4	7	0	7	0	4	4
21	0	20	29	0	29	21	0	21	29	20	0
22	11	11	11	0	12	21	0	21	12	0	12
12	12	12	12	0	12	25	25	25	12	12	12
4	4	4	6	0	6	4	0	4	5	4	0
0	0	47	53	0	56	18	0	18	0	18	18
20	20	20	20	0	20	12	0	14	14	0	19
0	29	36	37	0	0	29	0	29	34	0	33
20	30	20	30	0	34	22	0	22	34	23	22
0	6	5	4	0	4	6	0	6	4	6	4
19	0	0	14	0	14	19	0	19	14	0	15
39	0	39	39	0	0	47	0	47	28	27	0
17	16	16	16	0	15	16	0	15	15	0	13
9	15	9	9	0	9	16	16	15	9	9	0
40	0	23	24	0	20	45	0	41	40	40	0
21	12	49	49	0	49	12	0	11	0	44	44
15	0	15	15	0	16	16	0	17	16	0	16
13	17	17	17	0	17	14	17	14	17	0	14
24	24	24	24	0	24	7	0	7	22	0	0
0	0	0	71	0	71	41	0	41	41	40	40
0	10	0	9	0	8	32	0	32	9	0	32
0	7	0	9	0	9	16	0	16	0	0	8
5	5	14	15	0	15	5	0	5	5	12	5
0	6	7	7	0	8	14	0	14	8	14	0
0	10	8	10	0	10	9	0	9	9	0	8
0	0	21	11	0	11	21	0	22	12	0	12
24	24	22	22	0	21	24	0	24	24	24	24
21	0	21	21	0	21	18	0	18	13	13	14
16	0	16	16	0	16	19	0	20	16	16	30
16	16	15	15	0	15	16	0	16	11	0	11
0	0	19	22	0	22	20	0	20	20	0	0
25	0	18	16	0	16	27	0	27	16	0	19
15	17	17	17	0	17	15	0	15	17	15	17
9	0	9	9	0	12	60	0	60	22	32	0
26	26	19	18	0	19	26	0	26	26	19	0
23	23	20	22	0	22	20	0	20	19	19	0
25	19	25	26	0	26	26	0	21	26	0	20
15	15	24	28	0	29	14	0	16	29	0	0
15	0	16	16	0	16	12	0	12	12	12	0
21	0	23	23	0	23	27	0	26	23	23	0
0	0	20	20	0	22	30	0	30	0	0	0
15	32	15	16	0	16	29	0	29	16	0	0
0	30	16	16	0	0	30	0	26	16	27	16
13	0	11	11	0	11	12	0	12	12	11	0
0	0	16	16	0	16	13	0	15	0	15	15
0	7	23	23	0	21	9	0	9	0	0	22
0	0	55	55	0	55	46	0	44	55	0	0
0	0	23	23	0	23	10	0	10	0	10	0
0	8	4	4	0	4	9	4	9	4	4	9
0	0	14	14	0	0	26	0	24	14	23	23
0	0	19	19	0	19	39	0	31	20	32	32
27	0	0	25	0	25	22	0	22	25	25	0
6	0	6	6	0	6	12	0	12	5	0	12
0	34	34	34	0	34	18	0	18	34	0	35
0	0	30	31	0	31	74	0	74	31	0	76
48	46	36	36	0	35	45	0	45	44	35	0
21	0	24	24	20	24	20	0	20	24	24	20
0	26	49	49	0	49	27	0	27	27	45	0
0	0	0	10	0	10	28	0	29	11	29	10
0	41	11	11	0	11	38	0	38	0	10	0
26	12	26	28	0	28	12	0	12	13	28	0
0	8	0	7	0	5	7	0	7	5	7	0
0	0	0	18	0	18	30	0	30	29	29	0
40	0	22	22	0	21	33	0	34	0	22	0
1	2	0	2	0	2	1	0	1	2	1	1
3	1	1	2	0	2	1	0	1	2	0	2
11	0	24	26	0	26	12	0	12	0	12	11
0	8	7	8	0	8	15	0	15	15	15	7
12	0	12	12	0	13	13	0	13	13	0	13
0	0	49	49	0	49	53	0	53	0	51	51
0	0	10	10	0	10	0	0	18	10	18	18
16	16	17	17	0	16	17	0	40	17	0	38
23	29	23	31	0	37	23	0	23	23	0	0
12	0	12	12	0	12	10	0	10	0	0	0
4	4	0	7	0	7	4	0	4	7	11	4
46	26	46	46	26	46	24	0	23	45	0	44
10	10	8	8	0	0	10	0	10	7	10	7
0	20	29	21	0	21	29	0	29	20	0	21
14	14	23	24	0	23	14	0	24	24	14	13
0	4	5	4	0	4	6	0	6	4	4	4
11	0	10	10	0	15	15	0	23	17	0	23
16	16	10	10	0	12	12	0	24	8	0	8
19	0	14	14	0	12	20	0	20	20	20	20
22	23	34	22	0	22	34	0	30	20	30	20
16	16	17	17	0	17	16	0	14	0	17	17
0	17	0	15	0	16	16	0	16	18	18	18
13	19	19	20	0	20	13	0	14	0	0	0
13	0	15	15	0	16	15	0	16	16	16	17
0	40	40	41	0	45	20	0	24	23	0	40
12	0	12	12	0	12	19	12	19	13	0	0
0	19	19	20	0	21	21	0	21	21	0	21
5	26	23	23	0	23	5	0	5	18	19	5
15	0	13	15	31	15	31	0	25	15	0	25
0	0	14	18	0	18	11	0	12	0	12	21
40	40	41	41	0	41	71	0	71	0	0	0
16	7	16	16	0	16	9	0	7	16	16	0
16	22	22	22	0	22	16	0	14	21	0	0
0	8	8	8	0	8	9	9	9	10	9	10
8	0	0	16	0	16	9	0	9	0	7	0
0	0	39	39	0	39	15	0	15	39	0	0
5	12	5	5	0	5	15	0	15	14	5	5
15	0	15	15	0	15	19	0	19	16	19	15
8	0	9	9	0	9	10	0	10	8	10	0
12	0	12	22	0	21	11	0	11	21	0	0
24	24	24	24	0	24	21	0	22	22	24	24
0	15	11	11	14	11	15	0	15	12	14	0
16	0	17	17	0	21	18	0	15	20	0	21
10	10	3	3	0	3	9	0	8	3	3	0
0	0	20	20	0	20	22	0	22	19	0	0
0	0	25	25	0	25	41	0	40	24	0	0
18	0	6	6	0	6	22	0	22	6	6	0
10	0	14	14	0	13	10	0	9	15	15	15
0	19	26	26	0	26	19	0	18	19	26	26
17	0	17	16	0	17	17	0	44	17	17	0
41	16	17	17	0	17	41	0	41	0	41	0
0	11	11	12	0	12	14	0	15	12	12	0
0	8	14	8	0	8	14	0	14	7	14	0
17	25	21	21	0	21	24	24	24	21	0	23
0	20	19	20	0	20	20	20	20	20	20	20
0	32	32	32	0	32	17	0	17	32	0	23
24	27	27	27	0	27	25	0	25	27	0	25
25	18	24	18	0	20	25	0	23	21	0	20
21	21	21	29	0	28	21	0	21	29	0	0
8	8	1	8	0	8	1	0	1	10	0	10
30	30	26	26	0	26	29	0	28	30	29	27
13	18	12	0	0	12	17	0	17	12	0	12
23	23	20	20	0	20	24	0	24	24	0	24
0	29	0	29	0	29	27	0	25	25	28	25
15	0	18	19	0	18	16	16	16	16	17	17
0	0	13	16	0	16	17	0	16	16	0	17
15	16	0	14	0	15	16	0	16	16	0	15
0	0	0	32	0	32	31	0	29	29	0	31
0	24	0	12	0	12	25	0	25	14	0	14
0	43	33	33	0	35	45	0	43	0	0	42
0	35	40	40	0	41	36	0	35	35	0	34
43	0	0	39	0	39	30	0	31	31	0	0
25	18	18	18	0	18	24	0	24	18	0	23
38	38	0	31	0	31	38	0	38	0	31	39
0	33	13	13	0	13	32	0	33	32	6	6
7	17	7	7	0	7	18	6	18	6	0	6
16	16	0	22	0	24	16	0	16	0	0	24
16	0	17	17	0	18	12	0	12	12	0	12
0	18	23	23	0	18	18	0	17	24	0	24
27	0	0	45	0	45	27	0	27	26	0	27
12	26	12	12	0	13	28	0	28	28	0	9
0	41	0	41	0	41	21	0	21	40	0	0
17	17	7	7	0	7	17	0	18	7	11	18
10	10	18	18	0	18	10	0	10	0	16	10
0	0	0	37	0	36	18	0	17	36	0	0
13	22	13	13	22	12	22	0	22	12	22	12
0	35	23	23	0	23	35	0	35	0	35	25
1	0	14	15	0	15	1	0	1	15	15	0
0	9	15	9	0	9	15	0	14	15	0	15
0	17	31	30	0	30	15	0	15	15	0	0
15	15	15	15	0	15	13	0	13	15	0	13
5	5	5	4	0	5	5	0	5	6	5	6
21	34	21	22	0	22	30	0	30	30	0	0
26	26	26	13	0	25	12	0	12	23	0	0
0	0	30	30	0	30	31	0	31	0	0	0
0	6	7	7	0	0	10	0	10	8	0	8
0	35	35	34	0	33	14	15	15	28	28	14
