position	CpG_p	CpG_m	CHG_p	CHG_m	CHH_p	CHH_m	Methylation	Base	Total
1	0.05	0.15	0.00	0.00	0.00	0.00	0.20	0.18	0.37
2	0.01	0.02	0.00	0.00	0.00	0.00	0.03	1.00	1.03
3	0.00	0.01	0.00	0.00	0.00	0.00	0.02	1.77	1.79
4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.08	1.08
5	0.76	0.00	0.00	0.00	0.00	0.00	0.76	2.23	2.99
6	0.47	0.84	0.00	0.00	0.00	0.00	1.32	2.06	3.38
7	0.75	0.10	0.00	0.00	0.00	0.00	0.85	2.04	2.89
8	0.13	0.80	0.00	0.00	0.03	0.00	0.97	2.24	3.21
9	0.05	0.10	0.00	0.00	0.00	0.00	0.15	0.44	0.60
10	0.09	0.05	0.00	0.00	0.01	0.00	0.14	0.84	0.98
11	0.10	0.08	0.00	0.00	0.00	0.00	0.18	0.33	0.51
12	0.02	0.01	0.00	0.00	0.00	0.00	0.02	0.15	0.18
13	0.08	0.11	0.00	0.00	0.00	0.00	0.18	0.58	0.77
14	0.03	0.05	0.00	0.00	0.00	0.00	0.08	0.22	0.30
15	0.09	0.06	0.00	0.00	0.00	0.00	0.16	0.28	0.43
