position	CpG_p	CpG_m	CHG_p	CHG_m	CHH_p	CHH_m	Methylation	Base	Total
1	0.13	0.17	0.14	0.08	0.12	0.15	0.79	0.08	0.87
2	0.24	0.13	0.07	0.09	0.12	0.16	0.81	0.08	0.89
3	0.10	0.24	0.03	0.10	0.31	0.23	1.01	0.80	1.80
4	0.04	0.09	0.01	0.24	0.31	0.35	1.04	1.82	2.86
5	0.02	0.04	0.01	0.00	0.00	0.00	0.07	1.49	1.56
6	0.33	0.03	0.00	0.01	0.04	0.62	1.03	1.63	2.66
7	0.02	0.32	0.03	0.00	0.64	0.06	1.07	1.69	2.76
8	0.03	0.02	0.01	0.01	0.00	0.00	0.06	1.58	1.65
9	0.40	0.03	0.13	0.03	0.18	0.30	1.07	1.79	2.85
10	0.15	0.42	0.12	0.00	0.23	0.04	0.96	0.39	1.35
11	0.13	0.16	0.08	0.16	0.13	0.05	0.71	0.05	0.76
12	0.15	0.13	0.09	0.13	0.16	0.18	0.84	0.14	0.97
