0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
8	0	15	14	14	8	8	8	9	10	10	0	11	11	11
18	0	21	21	21	19	21	21	21	19	0	0	0	15	0
8	17	17	18	18	8	18	18	0	18	0	0	0	18	18
0	0	25	25	24	6	24	24	0	25	24	24	10	10	0
12	23	23	23	22	14	23	23	23	23	0	0	24	24	25
16	0	18	18	14	16	17	20	0	20	0	0	20	20	0
0	1	1	1	1	12	1	1	0	1	13	0	8	0	8
3	0	0	0	0	3	0	0	0	0	0	0	0	0	0
6	17	17	17	17	0	17	18	18	18	0	0	18	18	18
20	0	18	18	18	22	18	18	0	18	18	0	18	18	0
14	15	15	15	15	14	15	15	15	15	0	0	15	0	15
3	8	8	9	5	3	7	7	0	7	7	0	0	7	7
20	11	11	13	13	20	13	13	14	14	14	0	14	14	13
30	0	23	23	23	33	24	25	0	25	25	0	0	25	0
2	9	9	9	9	2	6	9	11	13	13	0	0	12	12
11	4	0	4	4	0	4	4	4	4	0	0	0	2	1
7	0	9	10	10	6	10	10	10	10	10	0	7	9	9
0	0	10	10	10	6	9	9	9	0	0	9	7	7	0
5	9	9	9	10	7	10	10	10	10	10	0	0	10	7
8	17	17	17	17	9	16	16	16	15	15	0	16	16	0
0	0	12	10	10	1	10	10	10	10	9	0	10	10	10
11	11	11	13	12	0	20	20	20	20	18	0	18	0	5
0	11	11	11	11	18	11	11	11	0	11	0	11	20	19
0	0	3	3	3	11	2	2	3	3	0	0	3	3	3
9	9	9	9	9	0	11	11	11	11	0	0	12	12	0
18	0	27	27	17	0	27	27	26	26	0	0	0	0	27
11	0	6	6	6	10	5	6	0	6	6	6	0	6	6
0	22	23	24	24	14	24	25	0	0	0	22	0	22	14
23	0	15	16	16	23	14	16	16	16	0	0	21	0	0
6	0	0	10	10	6	10	10	10	10	0	0	11	11	11
12	0	9	10	10	20	10	10	10	10	10	0	0	22	0
0	0	6	8	9	0	9	9	9	9	9	0	9	9	9
0	0	0	9	9	0	9	9	9	9	9	0	9	9	9
0	9	9	9	9	0	9	9	9	9	0	0	0	9	0
21	0	22	23	23	23	23	23	24	24	0	0	0	21	24
0	0	23	23	23	24	23	24	23	0	23	0	23	0	23
28	30	24	24	24	29	23	23	24	24	0	0	12	12	12
13	7	6	6	6	16	6	6	0	6	6	0	21	8	8
41	18	18	18	18	44	18	16	0	18	0	0	45	18	17
19	4	5	5	4	19	11	11	11	13	0	0	21	15	15
0	2	2	2	2	23	2	2	0	0	2	29	2	0	2
15	0	2	8	8	15	8	8	8	8	8	0	0	8	8
5	0	6	6	6	11	6	6	7	7	7	0	0	5	6
0	16	16	16	17	0	17	17	17	17	0	0	0	17	0
0	0	12	12	13	0	9	9	9	9	12	0	0	0	0
9	17	17	17	17	9	17	17	17	17	17	0	0	17	9
12	4	4	4	4	12	4	4	0	4	0	0	4	3	10
0	12	0	12	12	4	12	11	0	12	12	0	0	11	11
5	9	7	9	9	7	9	9	9	7	0	7	0	9	8
10	15	15	15	16	10	16	16	16	16	0	16	19	18	19
0	0	9	9	9	11	9	9	9	9	9	0	9	0	9
0	0	8	8	8	7	6	6	6	6	0	0	0	6	0
0	0	14	13	14	31	14	14	0	13	0	0	20	19	0
14	0	9	9	9	14	9	10	10	10	10	0	10	0	0
7	4	4	4	4	7	4	4	4	4	4	0	4	0	4
4	5	5	5	5	6	3	7	7	7	7	0	7	7	0
8	8	7	7	7	7	7	7	0	7	7	7	7	7	6
0	0	20	20	20	17	16	21	22	21	22	0	22	22	0
14	10	10	10	11	16	12	16	0	16	16	16	0	15	13
34	0	20	20	20	39	20	21	0	0	21	0	21	23	23
11	2	2	2	2	11	2	2	0	2	0	0	2	0	0
3	3	15	15	15	3	15	15	0	15	0	2	15	15	15
9	0	15	15	15	8	16	16	16	0	16	0	0	16	15
12	20	20	20	21	12	19	19	19	20	0	0	20	0	0
2	10	0	10	10	3	10	10	11	11	0	0	12	12	10
1	3	0	3	3	3	3	3	3	3	3	0	3	3	4
13	0	24	22	9	12	24	24	24	24	24	0	9	12	21
14	15	0	15	14	22	13	15	15	15	0	0	15	15	15
0	13	13	11	10	4	10	10	10	11	0	0	0	11	11
8	1	8	8	8	2	8	8	8	8	2	0	8	2	8
17	0	29	29	29	21	35	35	35	37	37	0	37	20	21
11	11	5	5	5	12	9	0	9	9	9	0	0	9	0
12	0	12	12	12	14	12	12	0	12	12	0	13	23	22
11	0	11	11	11	9	9	10	0	11	11	12	12	0	13
0	1	2	2	2	21	2	2	2	2	2	0	0	2	3
9	0	6	7	7	10	6	6	6	6	0	0	0	6	6
20	28	28	28	28	20	28	32	0	32	0	0	0	38	37
0	0	4	11	11	36	11	11	0	12	14	0	0	37	14
31	0	42	42	42	29	42	33	0	35	0	0	36	38	0
3	4	4	4	5	3	5	5	5	5	0	0	0	5	5
6	5	5	5	5	5	5	5	0	5	5	0	5	5	5
7	0	9	9	9	7	9	9	0	9	9	8	8	7	8
7	7	7	7	7	7	7	7	7	7	7	8	7	0	0
1	6	6	7	7	1	8	8	8	8	8	0	5	0	9
4	12	12	12	12	4	12	14	14	0	13	0	13	4	13
2	9	9	9	9	3	9	9	9	9	7	8	0	0	0
0	8	7	8	8	0	8	8	8	8	0	8	0	8	8
0	0	20	19	19	3	18	21	21	21	0	0	21	21	1
0	0	7	7	7	0	7	7	7	7	7	7	7	1	0
18	0	7	7	7	18	7	6	7	0	7	0	7	0	8
10	0	29	29	2	15	29	29	29	29	0	29	0	29	0
20	0	11	11	11	20	8	8	0	9	0	9	9	9	19
47	0	31	30	31	50	30	31	32	38	39	0	38	0	53
40	0	29	29	29	41	28	29	35	34	34	0	34	0	44
22	0	14	15	15	22	15	15	0	16	0	0	16	0	25
11	0	8	8	8	11	7	7	0	6	0	0	7	0	11
6	0	8	8	8	7	8	8	8	8	0	8	0	8	0
2	4	4	4	4	2	4	4	4	4	4	4	4	4	0
16	0	23	23	21	16	23	24	24	24	0	24	24	0	24
14	22	22	22	22	14	21	21	20	21	21	0	10	10	20
2	27	27	27	27	1	27	27	27	27	0	1	27	24	27
23	24	24	24	24	25	24	23	0	23	23	0	21	23	23
20	12	0	12	12	21	12	12	12	12	0	12	0	11	0
23	7	7	6	6	21	6	6	6	0	7	0	0	7	7
29	0	12	12	12	29	12	12	0	12	12	30	0	11	0
7	9	9	9	9	7	9	9	9	0	9	0	15	15	15
0	0	14	15	15	6	15	0	15	15	15	0	0	5	17
27	19	19	18	11	3	19	19	0	19	0	30	0	19	19
0	8	6	8	8	26	8	8	9	10	10	0	10	0	0
25	0	13	13	13	24	13	13	13	13	0	0	24	23	0
78	7	7	6	6	0	6	6	6	6	6	0	0	6	6
0	0	5	5	5	0	5	5	5	5	0	0	5	0	5
4	4	4	2	3	0	3	3	3	3	0	0	3	3	0
45	0	31	31	31	44	30	31	31	0	0	0	31	31	0
16	0	4	4	4	16	4	4	0	0	4	0	4	15	3
4	8	8	8	8	4	8	8	8	8	8	0	8	8	8
10	19	19	19	18	10	20	20	21	24	25	0	14	14	26
12	12	12	12	12	12	16	14	14	14	0	0	10	10	8
15	0	17	17	17	16	16	16	15	15	0	15	15	0	15
10	0	11	11	12	0	10	11	11	11	11	0	11	0	0
6	5	5	5	5	0	5	6	0	6	6	0	0	8	8
38	0	28	28	28	38	28	28	0	31	0	31	0	0	31
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	1	1	1	0	1	1	1	1	0	0	1	1	1
23	0	18	18	18	29	18	18	18	18	18	0	18	31	14
5	5	28	28	27	5	21	28	28	28	28	0	0	28	4
0	11	0	11	11	0	11	11	11	11	11	0	0	11	11
9	0	6	6	7	8	6	7	7	7	0	0	8	10	10
21	0	21	22	22	32	22	22	0	27	29	0	27	35	27
0	0	6	6	7	1	8	9	10	10	9	0	9	9	1
26	14	14	14	14	27	14	14	15	15	0	15	15	0	14
16	0	12	12	12	0	12	11	11	0	11	0	12	9	12
7	0	7	7	7	8	6	6	6	6	6	0	6	3	5
18	0	1	1	1	18	1	1	0	1	1	0	0	18	18
0	1	1	1	1	18	1	1	0	0	1	1	0	0	1
15	0	1	1	1	0	1	1	1	0	0	1	1	0	1
10	10	25	25	25	9	25	24	25	25	0	0	0	25	12
0	6	6	6	6	27	1	6	6	6	0	0	0	0	6
0	4	4	4	4	33	4	4	0	4	0	0	8	0	8
19	16	18	18	18	18	18	18	0	18	18	18	18	0	18
22	11	0	13	13	18	13	13	13	13	0	0	19	13	19
0	0	19	19	18	19	19	19	0	19	0	0	0	17	19
0	23	23	22	23	14	23	22	0	22	22	22	0	0	0
16	17	17	17	17	16	17	17	0	17	17	0	0	10	0
0	13	13	13	13	19	12	12	12	12	12	0	12	0	12
0	8	8	8	8	8	10	9	9	9	9	0	0	9	0
14	1	1	1	1	15	1	1	1	0	1	1	15	14	1
1	1	13	13	14	1	14	14	14	14	0	1	0	14	14
1	0	18	18	17	1	17	17	18	19	0	0	0	19	0
16	9	9	9	9	17	13	13	13	13	0	0	13	13	12
0	6	6	6	6	17	6	6	0	6	0	21	21	0	6
0	17	18	18	18	1	18	18	18	18	18	18	18	1	16
0	0	23	25	23	11	22	22	0	23	0	0	0	23	0
0	0	9	9	9	35	9	9	0	9	0	9	0	9	9
33	0	9	9	9	33	6	6	0	6	6	34	34	0	6
11	0	12	12	12	11	12	11	0	0	0	0	12	12	0
13	0	17	17	17	13	16	16	16	16	17	17	0	16	18
22	0	12	13	13	21	11	13	13	0	0	13	13	13	13
0	0	19	19	19	12	19	20	23	23	23	0	23	23	0
45	0	11	11	11	43	11	11	11	11	0	0	11	11	51
0	30	30	30	34	19	33	33	34	34	32	0	0	20	33
20	0	33	33	33	19	32	31	32	0	32	32	0	31	21
16	0	16	16	16	8	16	16	0	16	15	0	16	16	8
0	13	16	16	15	13	15	15	0	14	0	11	0	0	12
