position	CpG_p	CpG_m	CHG_p	CHG_m	CHH_p	CHH_m	Methylation	Base	Total
1	0.02	0.05	0.00	0.00	0.00	0.00	0.07	0.18	0.25
2	0.00	0.01	0.00	0.00	0.00	0.00	0.01	1.00	1.01
3	0.00	0.00	0.00	0.00	0.00	0.00	0.01	1.77	1.78
4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.08	1.08
5	0.27	0.00	0.00	0.00	0.00	0.00	0.27	2.23	2.51
6	0.15	0.27	0.00	0.00	0.00	0.00	0.42	2.06	2.49
7	0.28	0.03	0.00	0.00	0.00	0.00	0.30	2.04	2.34
8	0.03	0.27	0.00	0.00	0.01	0.00	0.32	2.24	2.56
9	0.03	0.04	0.00	0.00	0.00	0.00	0.07	0.44	0.51
10	0.03	0.02	0.00	0.00	0.01	0.00	0.06	0.84	0.90
11	0.03	0.03	0.00	0.00	0.00	0.00	0.06	0.33	0.40
12	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.15	0.16
13	0.03	0.04	0.00	0.00	0.00	0.00	0.07	0.58	0.65
14	0.01	0.01	0.00	0.00	0.00	0.00	0.02	0.22	0.24
15	0.03	0.02	0.00	0.00	0.00	0.00	0.04	0.28	0.32
