position	CpG_p	CpG_m	CHG_p	CHG_m	CHH_p	CHH_m	Methylation	Base	Total
1	0.22	0.18	0.00	0.00	0.00	0.00	0.40	0.19	0.59
2	0.08	0.21	0.00	0.00	0.00	0.00	0.30	0.18	0.49
3	0.01	0.08	0.00	0.00	0.00	0.00	0.10	1.02	1.12
4	0.08	0.01	0.00	0.00	0.00	0.00	0.10	2.09	2.19
5	0.00	0.08	0.00	0.00	0.00	0.00	0.08	1.28	1.36
6	1.80	0.00	0.00	0.00	0.00	0.00	1.80	1.90	3.70
7	0.00	1.84	0.00	0.00	0.00	0.00	1.84	1.96	3.80
8	0.07	0.00	0.00	0.00	0.00	0.00	0.07	1.35	1.43
9	0.00	0.07	0.00	0.00	0.00	0.00	0.07	2.06	2.13
10	0.26	0.00	0.00	0.00	0.00	0.00	0.26	0.59	0.86
11	0.19	0.28	0.00	0.00	0.00	0.00	0.47	0.11	0.58
12	0.21	0.18	0.00	0.00	0.00	0.00	0.40	0.26	0.67
