position	CpG_p	CpG_m	CHG_p	CHG_m	CHH_p	CHH_m	Methylation	Base	Total
1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.21	0.21
2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.89	0.89
3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.81	1.81
4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.81	1.81
5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.64	1.64
6	0.04	0.00	0.00	0.00	0.01	0.00	0.05	2.22	2.27
7	0.00	0.05	0.00	0.00	0.00	0.00	0.05	0.54	0.59
8	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.67	0.67
9	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.02	1.02
10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.81	1.81
11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.91	0.91
