position	CpG_p	CpG_m	CHG_p	CHG_m	CHH_p	CHH_m	Methylation	Base	Total
1	0.12	0.00	0.00	0.00	0.00	0.00	0.12	0.14	0.26
2	0.04	0.03	0.00	0.00	0.00	0.00	0.07	0.46	0.53
3	0.12	0.04	0.00	0.00	0.00	0.00	0.16	0.06	0.22
4	0.00	0.03	0.00	0.00	0.00	0.00	0.04	0.56	0.60
5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.12	0.13
6	0.12	0.00	0.00	0.00	0.00	0.00	0.12	0.05	0.17
7	0.08	0.12	0.00	0.00	0.00	0.00	0.20	0.43	0.63
8	0.04	0.09	0.00	0.00	0.00	0.00	0.13	0.27	0.40
9	0.12	0.04	0.00	0.00	0.00	0.00	0.16	0.28	0.43
10	0.03	0.12	0.00	0.00	0.00	0.00	0.15	0.11	0.26
11	0.00	0.03	0.00	0.00	0.00	0.00	0.04	0.04	0.08
12	0.04	0.00	0.00	0.00	0.00	0.00	0.04	0.17	0.21
13	0.00	0.04	0.00	0.00	0.00	0.00	0.04	0.11	0.15
