position	CpG_p	CpG_m	CHG_p	CHG_m	CHH_p	CHH_m	Methylation	Base	Total
1	0.00	0.01	0.00	0.00	0.00	0.00	0.01	0.08	0.09
2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.28	1.28
3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.37	1.37
4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.36	1.36
5	0.02	0.00	0.00	0.00	0.00	0.00	0.02	1.79	1.81
6	0.02	0.02	0.00	0.00	0.00	0.00	0.04	1.65	1.70
7	0.02	0.00	0.00	0.00	0.00	0.00	0.03	1.62	1.65
8	0.00	0.02	0.00	0.00	0.01	0.00	0.04	1.81	1.85
9	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.61	0.62
10	0.00	0.00	0.00	0.00	0.01	0.00	0.02	0.63	0.64
11	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.45	0.46
12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.11
13	0.00	0.01	0.00	0.00	0.00	0.00	0.01	0.55	0.57
14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.32	0.32
15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.09
