position	CpG_p	CpG_m	CHG_p	CHG_m	CHH_p	CHH_m	Methylation	Base	Total
1	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.07	0.07
2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.41	0.41
3	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.01	0.02
4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.46	0.46
5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.15	0.15
6	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.19	0.19
7	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.23	0.24
8	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.21	0.21
9	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.09	0.10
10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.04
11	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.01	0.01
12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.08
13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.18	0.18
