position	CpG_p	CpG_m	CHG_p	CHG_m	CHH_p	CHH_m	Methylation	Base	Total
1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.02
2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.12	0.12
3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.35	0.35
4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.10	2.10
5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.66	1.66
6	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.10	2.10
7	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.59	0.59
8	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.95	1.96
9	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.64	1.64
10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.05	2.05
11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.35	0.36
12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.11
13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.03
