position	CpG_p	CpG_m	CHG_p	CHG_m	CHH_p	CHH_m	Methylation	Base	Total
1	0.13	0.16	0.13	0.08	0.12	0.15	0.77	0.08	0.85
2	0.24	0.13	0.06	0.09	0.12	0.16	0.81	0.08	0.88
3	0.09	0.22	0.03	0.10	0.31	0.23	0.98	0.80	1.77
4	0.03	0.09	0.01	0.24	0.31	0.35	1.03	1.82	2.86
5	0.03	0.03	0.01	0.00	0.00	0.00	0.08	1.49	1.56
6	0.31	0.03	0.00	0.01	0.04	0.62	1.00	1.63	2.64
7	0.02	0.31	0.03	0.00	0.64	0.06	1.05	1.69	2.74
8	0.03	0.03	0.01	0.01	0.00	0.00	0.07	1.58	1.66
9	0.37	0.03	0.13	0.03	0.18	0.30	1.04	1.79	2.82
10	0.14	0.38	0.12	0.00	0.23	0.04	0.92	0.39	1.31
11	0.13	0.15	0.08	0.16	0.13	0.05	0.70	0.05	0.74
12	0.14	0.12	0.09	0.13	0.16	0.18	0.83	0.14	0.96
