position	CpG_p	CpG_m	CHG_p	CHG_m	CHH_p	CHH_m	Methylation	Base	Total
1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.11
2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.11
3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.24	0.24
4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.20	1.21
5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.57	0.57
6	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.24	1.24
7	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.82	0.82
8	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.02	1.02
9	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.40	0.40
10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.34	1.34
11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.37	0.37
12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.72	0.72
13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.05
14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.09
