position	CpG_p	CpG_m	CHG_p	CHG_m	CHH_p	CHH_m	Methylation	Base	Total
1	0.02	0.03	0.00	0.00	0.00	0.00	0.05	0.06	0.11
2	0.02	0.02	0.00	0.00	0.00	0.00	0.04	0.06	0.11
3	0.02	0.05	0.00	0.00	0.00	0.00	0.07	0.74	0.82
4	0.01	0.03	0.00	0.00	0.00	0.00	0.04	1.75	1.80
5	0.00	0.01	0.00	0.00	0.00	0.00	0.01	1.57	1.58
6	0.09	0.01	0.00	0.00	0.00	0.00	0.11	1.57	1.67
7	0.01	0.10	0.00	0.00	0.00	0.00	0.11	1.63	1.74
8	0.01	0.00	0.00	0.00	0.00	0.00	0.01	1.66	1.67
9	0.12	0.01	0.00	0.00	0.00	0.00	0.13	1.73	1.86
10	0.04	0.09	0.00	0.00	0.00	0.00	0.13	0.35	0.48
11	0.02	0.03	0.00	0.00	0.00	0.00	0.05	0.04	0.08
12	0.02	0.02	0.00	0.00	0.00	0.00	0.04	0.11	0.15
