position	CpG_p	CpG_m	CHG_p	CHG_m	CHH_p	CHH_m	Methylation	Base	Total
1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.06
2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.04
3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.03	-0.03
4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.09
5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.03	-0.03
6	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.01	-0.01
7	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.01
8	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.01	-0.01
9	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.07
10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.02
11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.05
12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.09
