position	CpG_p	CpG_m	CHG_p	CHG_m	CHH_p	CHH_m	Methylation	Base	Total
1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.10
2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.11
3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.23	0.24
4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.19	1.19
5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.56	0.56
6	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.22	1.22
7	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.81	0.81
8	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00
9	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.40	0.41
10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.32	1.32
11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.36	0.37
12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.70	0.70
13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.05
14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.09
