position	CpG_p	CpG_m	CHG_p	CHG_m	CHH_p	CHH_m	Methylation	Base	Total
1	0.03	0.11	0.00	0.00	0.00	0.00	0.14	0.20	0.34
2	0.06	0.07	0.00	0.01	0.00	0.00	0.13	0.36	0.50
3	0.15	0.06	0.00	0.00	0.00	0.01	0.22	0.28	0.51
4	0.10	0.07	0.00	0.00	0.00	0.00	0.17	0.43	0.60
5	0.20	0.05	0.00	0.00	0.00	0.00	0.26	0.49	0.75
6	0.21	0.13	0.00	0.00	0.00	0.00	0.34	0.45	0.79
7	0.14	0.15	0.00	0.00	0.00	0.00	0.30	0.88	1.18
8	0.10	0.08	0.00	0.00	0.00	0.00	0.19	0.42	0.61
9	0.08	0.10	0.00	0.00	0.00	0.00	0.18	0.22	0.40
10	0.08	0.02	0.00	0.00	0.00	0.00	0.10	0.63	0.73
11	0.01	0.08	0.00	0.00	0.00	0.01	0.10	0.28	0.38
12	0.03	0.01	0.00	0.00	0.00	0.00	0.04	0.20	0.25
13	0.19	0.03	0.00	0.00	0.00	0.00	0.23	0.55	0.78
14	0.17	0.11	0.00	0.00	0.00	0.00	0.29	0.24	0.53
15	0.17	0.12	0.00	0.00	0.00	0.00	0.29	0.41	0.71
