position	CpG_p	CpG_m	CHG_p	CHG_m	CHH_p	CHH_m	Methylation	Base	Total
1	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.02	0.03
2	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.11	0.13
3	0.04	0.01	0.00	0.00	0.00	0.00	0.05	0.59	0.63
4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.47	0.48
5	0.00	0.06	0.00	0.00	0.00	0.00	0.06	1.88	1.94
6	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.94	1.94
7	0.00	0.00	0.00	0.00	0.00	0.24	0.25	0.63	0.88
8	0.00	0.01	0.00	0.00	0.20	0.00	0.21	0.98	1.19
9	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.95	1.95
10	0.04	0.00	0.00	0.00	0.00	0.00	0.05	1.83	1.88
11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.80	0.81
12	0.00	0.04	0.00	0.00	0.00	0.00	0.04	0.74	0.78
13	0.00	0.00	0.00	0.00	0.00	0.01	0.01	0.14	0.16
14	0.00	0.00	0.00	0.00	0.00	0.01	0.01	0.02	0.03
