position	CpG_p	CpG_m	CHG_p	CHG_m	CHH_p	CHH_m	Methylation	Base	Total
1	0.04	0.04	0.00	0.00	0.00	0.00	0.08	0.45	0.53
2	0.13	0.03	0.00	0.00	0.00	0.00	0.17	0.18	0.35
3	0.02	0.02	0.00	0.00	0.00	0.00	0.04	0.76	0.80
4	0.00	0.44	0.00	0.00	0.00	0.00	0.45	2.09	2.53
5	0.00	0.01	0.00	0.00	0.00	0.00	0.01	0.75	0.76
6	0.02	0.00	0.00	0.00	0.00	0.00	0.02	1.06	1.08
7	0.00	0.02	0.00	0.00	0.00	0.00	0.02	0.97	0.99
8	0.88	0.00	0.00	0.00	0.00	0.00	0.88	1.89	2.77
9	0.01	0.12	0.00	0.00	0.00	0.00	0.13	1.41	1.54
10	0.00	0.01	0.00	0.00	0.00	0.00	0.01	1.28	1.29
11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.66	1.66
12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.23	2.23
13	0.06	0.00	0.00	0.00	0.00	0.00	0.06	0.48	0.54
14	0.05	0.06	0.00	0.00	0.00	0.00	0.12	0.60	0.71
15	0.05	0.11	0.00	0.00	0.00	0.00	0.17	0.23	0.40
