position	CpG_p	CpG_m	CHG_p	CHG_m	CHH_p	CHH_m	Methylation	Base	Total
1	0.00	0.02	0.00	0.00	0.00	0.00	0.02	0.27	0.30
2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.78	0.79
3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.07	1.07
4	0.00	0.00	0.01	0.00	0.00	0.00	0.01	1.90	1.90
5	0.16	0.00	0.00	0.00	0.00	0.00	0.16	1.86	2.02
6	0.00	0.11	0.00	0.00	0.00	0.00	0.11	0.82	0.93
7	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.90	1.90
8	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.90	1.90
9	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.16	1.16
10	0.02	0.00	0.00	0.00	0.00	0.00	0.02	0.78	0.80
11	0.02	0.01	0.00	0.00	0.00	0.00	0.04	0.34	0.38
