position	CpG_p	CpG_m	CHG_p	CHG_m	CHH_p	CHH_m	Methylation	Base	Total
1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.01
2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.12	0.12
3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.43	0.43
4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.49	0.49
5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.73	1.73
6	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.02	2.02
7	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.92	0.92
8	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.25	1.25
9	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.11	2.11
10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.73	1.73
11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.65	0.66
12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.54	0.55
13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.13	0.13
14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.01
