position	CpG_p	CpG_m	CHG_p	CHG_m	CHH_p	CHH_m	Methylation	Base	Total
1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.45	0.45
2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.52	0.52
3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.31	0.31
4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.99	1.99
5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.98	1.98
6	0.01	0.00	0.00	0.00	0.00	0.00	0.01	2.00	2.01
7	0.00	0.01	0.00	0.00	0.00	0.00	0.01	1.12	1.13
8	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.96	1.96
9	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.01	2.01
10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.69	0.69
