position	CpG_p	CpG_m	CHG_p	CHG_m	CHH_p	CHH_m	Methylation	Base	Total
1	0.00	0.01	0.00	0.00	0.00	0.00	0.02	0.08	0.09
2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.31	1.32
3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.34	1.34
4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.39	1.40
5	0.02	0.00	0.00	0.00	0.00	0.00	0.02	1.75	1.78
6	0.03	0.03	0.00	0.00	0.00	0.00	0.06	1.62	1.68
7	0.02	0.01	0.00	0.00	0.00	0.00	0.03	1.58	1.61
8	0.01	0.02	0.00	0.00	0.05	0.00	0.08	1.78	1.86
9	0.00	0.01	0.00	0.00	0.00	0.00	0.01	0.63	0.64
10	0.00	0.00	0.00	0.00	0.01	0.00	0.02	0.61	0.63
11	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.47	0.48
12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.11
13	0.00	0.01	0.00	0.00	0.00	0.00	0.01	0.56	0.57
14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.34	0.35
15	0.01	0.00	0.00	0.00	0.00	0.00	0.01	0.07	0.08
