position	CpG_p	CpG_m	CHG_p	CHG_m	CHH_p	CHH_m	Methylation	Base	Total
1	0.01	0.01	0.00	0.00	0.00	0.00	0.02	0.42	0.44
2	0.00	0.01	0.00	0.00	0.00	0.00	0.01	1.50	1.51
3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.26	1.26
4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.40	0.40
5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.76	1.76
6	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.75	1.75
7	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.27	2.28
8	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.26	2.26
9	0.12	0.00	0.01	0.00	0.00	0.00	0.13	1.23	1.36
10	0.01	0.12	0.00	0.00	0.00	0.00	0.14	0.22	0.35
11	0.00	0.01	0.00	0.00	0.00	0.00	0.01	0.66	0.68
12	0.08	0.00	0.00	0.00	0.00	0.00	0.08	0.72	0.80
