position	CpG_p	CpG_m	CHG_p	CHG_m	CHH_p	CHH_m	Methylation	Base	Total
1	0.03	0.10	0.10	0.06	0.19	0.12	0.60	0.11	0.71
2	0.03	0.03	0.00	0.02	0.04	0.03	0.15	1.17	1.32
3	0.00	0.03	0.01	0.11	0.45	0.37	0.97	1.51	2.48
4	0.01	0.00	0.07	0.00	0.00	0.06	0.14	1.24	1.38
5	0.51	0.01	0.00	0.01	0.02	0.52	1.07	1.95	3.01
6	0.54	0.51	0.00	0.00	0.02	0.00	1.06	1.79	2.85
7	0.51	0.56	0.00	0.00	0.00	0.02	1.09	1.76	2.85
8	0.08	0.51	0.04	0.00	0.46	0.02	1.10	1.95	3.05
9	0.04	0.08	0.01	0.08	0.09	0.00	0.30	0.53	0.82
10	0.05	0.04	0.11	0.03	0.26	0.28	0.76	0.69	1.45
11	0.06	0.05	0.03	0.02	0.09	0.12	0.36	0.39	0.75
12	0.07	0.06	0.04	0.09	0.19	0.12	0.56	0.11	0.67
13	0.05	0.06	0.08	0.03	0.15	0.17	0.53	0.55	1.09
14	0.07	0.05	0.03	0.04	0.08	0.11	0.38	0.27	0.66
15	0.12	0.07	0.09	0.08	0.19	0.21	0.75	0.14	0.89
