position	CpG_p	CpG_m	CHG_p	CHG_m	CHH_p	CHH_m	Methylation	Base	Total
1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.02
2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.13	0.13
3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.65	0.65
4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.45	0.45
5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.96	1.96
6	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.81	1.81
7	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.65	0.65
8	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.06	1.06
9	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.87	1.87
10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.96	1.96
11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.74	0.74
12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.79	0.79
13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.15	0.15
14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.02
