position	CpG_p	CpG_m	CHG_p	CHG_m	CHH_p	CHH_m	Methylation	Base	Total
1	0.01	0.01	0.00	0.00	0.00	0.00	0.02	0.08	0.11
2	0.08	0.02	0.00	0.00	0.00	0.00	0.10	0.51	0.61
3	0.00	0.05	0.00	0.00	0.00	0.00	0.06	0.62	0.68
4	0.00	0.01	0.00	0.00	0.00	0.00	0.01	1.38	1.39
5	0.02	0.00	0.00	0.00	0.00	0.00	0.03	1.89	1.92
6	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.41	1.41
7	0.01	0.02	0.00	0.00	0.00	0.00	0.02	1.06	1.09
8	0.00	0.01	0.00	0.00	0.00	0.00	0.01	1.32	1.33
9	0.00	0.00	0.00	0.00	0.00	0.00	0.01	1.89	1.90
10	0.00	0.00	0.00	0.00	0.00	0.00	0.01	1.33	1.34
11	0.73	0.00	0.00	0.01	0.00	0.00	0.75	1.56	2.30
12	0.01	0.00	0.00	0.00	0.00	0.00	0.01	1.59	1.60
13	0.02	0.02	0.00	0.00	0.00	0.00	0.04	0.27	0.31
14	0.02	0.02	0.00	0.00	0.00	0.00	0.04	0.01	0.05
15	0.01	0.01	0.00	0.00	0.00	0.00	0.02	0.03	0.05
