position	CpG_p	CpG_m	CHG_p	CHG_m	CHH_p	CHH_m	Methylation	Base	Total
1	0.17	0.09	0.00	0.00	0.00	0.00	0.26	0.36	0.62
2	0.15	0.12	0.00	0.00	0.00	0.00	0.27	0.44	0.72
3	0.02	0.13	0.01	0.00	0.00	0.00	0.15	0.57	0.71
4	0.98	0.01	0.00	0.00	0.00	0.00	1.00	1.89	2.89
5	0.00	0.77	0.00	0.00	0.00	0.00	0.78	0.98	1.75
6	0.12	0.00	0.00	0.00	0.00	0.00	0.12	1.95	2.08
7	0.08	0.11	0.00	0.00	0.00	0.00	0.19	1.47	1.66
8	0.19	0.07	0.00	0.00	0.00	0.00	0.26	1.68	1.94
9	0.01	0.15	0.01	0.00	0.00	0.00	0.17	0.48	0.65
10	0.95	0.00	0.00	0.00	0.00	0.00	0.96	2.07	3.02
11	0.01	0.77	0.00	0.00	0.00	0.00	0.78	0.73	1.51
12	0.29	0.01	0.00	0.00	0.00	0.00	0.30	1.31	1.60
13	0.16	0.25	0.00	0.00	0.00	0.00	0.41	0.22	0.63
14	0.18	0.12	0.00	0.00	0.00	0.00	0.31	0.45	0.76
