position	CpG_p	CpG_m	CHG_p	CHG_m	CHH_p	CHH_m	Methylation	Base	Total
1	0.34	0.34	0.31	0.41	0.61	0.79	2.81	0.02	2.83
2	0.23	0.32	0.01	0.50	0.87	0.76	2.69	0.03	2.72
3	0.02	0.34	0.13	0.42	2.90	0.89	4.71	0.15	4.85
4	0.15	0.02	0.12	0.01	5.53	0.02	5.84	1.38	7.22
5	0.00	0.06	0.02	0.00	0.00	0.00	0.08	2.05	2.13
6	3.68	0.00	0.00	0.14	0.15	0.00	3.96	1.24	5.20
7	0.00	3.73	0.13	0.00	0.00	0.28	4.14	1.28	5.43
8	0.05	0.00	0.00	0.04	0.00	0.00	0.09	2.03	2.12
9	0.01	0.16	0.00	0.11	0.02	5.63	5.93	1.45	7.38
10	0.34	0.00	0.48	0.13	1.05	2.44	4.44	0.15	4.59
11	0.31	0.31	0.42	0.00	0.67	0.61	2.31	0.02	2.33
12	0.29	0.36	0.55	0.39	0.83	0.57	2.98	0.01	2.99
