position	CpG_p	CpG_m	CHG_p	CHG_m	CHH_p	CHH_m	Methylation	Base	Total
1	0.05	0.20	0.00	0.00	0.00	0.00	0.25	0.59	0.84
2	0.00	0.04	0.00	0.00	0.00	0.00	0.04	0.46	0.51
3	0.00	0.00	0.00	0.00	0.01	0.00	0.01	1.36	1.37
4	0.00	0.01	0.01	0.00	0.00	0.00	0.02	2.17	2.20
5	1.43	0.00	0.00	0.00	0.00	0.00	1.43	2.04	3.46
6	0.00	1.24	0.00	0.00	0.00	0.00	1.24	1.25	2.49
7	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.22	2.22
8	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.07	2.07
9	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.13	1.14
10	0.07	0.00	0.00	0.00	0.00	0.00	0.08	0.95	1.03
11	0.17	0.07	0.00	0.00	0.00	0.00	0.24	0.56	0.80
12	0.13	0.16	0.00	0.00	0.00	0.00	0.30	0.14	0.43
13	0.16	0.13	0.00	0.00	0.00	0.00	0.30	0.21	0.51
14	0.20	0.15	0.00	0.00	0.00	0.00	0.36	0.31	0.67
15	0.23	0.17	0.00	0.00	0.00	0.00	0.40	0.27	0.67
