position	CpG_p	CpG_m	CHG_p	CHG_m	CHH_p	CHH_m	Methylation	Base	Total
1	0.06	0.03	0.00	0.00	0.00	0.00	0.09	0.12	0.22
2	0.05	0.06	0.00	0.00	0.00	0.00	0.11	0.23	0.34
3	0.00	0.04	0.00	0.00	0.00	0.00	0.05	0.43	0.48
4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.70	1.70
5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.08	2.08
6	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.69	1.69
7	0.02	0.00	0.00	0.00	0.00	0.00	0.03	0.99	1.02
8	0.00	0.02	0.00	0.00	0.00	0.00	0.02	1.56	1.59
9	0.01	0.00	0.00	0.00	0.00	0.00	0.01	2.06	2.07
10	0.00	0.01	0.00	0.00	0.00	0.00	0.01	1.64	1.65
11	0.04	0.00	0.00	0.00	0.00	0.00	0.04	0.43	0.47
12	0.05	0.04	0.00	0.00	0.00	0.00	0.10	0.23	0.33
13	0.03	0.06	0.00	0.00	0.00	0.00	0.09	0.14	0.23
