position	CpG_p	CpG_m	CHG_p	CHG_m	CHH_p	CHH_m	Methylation	Base	Total
1	0.23	0.19	0.00	0.00	0.00	0.00	0.42	0.19	0.61
2	0.08	0.22	0.00	0.00	0.00	0.00	0.31	0.19	0.50
3	0.01	0.08	0.00	0.00	0.01	0.00	0.11	1.03	1.13
4	0.09	0.01	0.00	0.00	0.00	0.00	0.10	2.12	2.22
5	0.00	0.08	0.00	0.00	0.00	0.00	0.08	1.29	1.37
6	1.86	0.00	0.00	0.00	0.00	0.00	1.86	1.91	3.78
7	0.00	1.89	0.00	0.00	0.00	0.00	1.89	1.98	3.87
8	0.07	0.00	0.00	0.00	0.00	0.00	0.07	1.38	1.45
9	0.00	0.07	0.00	0.00	0.00	0.00	0.08	2.08	2.16
10	0.27	0.00	0.00	0.00	0.00	0.00	0.28	0.59	0.87
11	0.19	0.30	0.00	0.00	0.00	0.00	0.49	0.12	0.61
12	0.23	0.19	0.00	0.00	0.00	0.00	0.42	0.26	0.69
