position	CpG_p	CpG_m	CHG_p	CHG_m	CHH_p	CHH_m	Methylation	Base	Total
1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.28	0.29
2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.34	0.34
3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.93	0.93
4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.51	1.51
5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.41	1.41
6	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.90	0.90
7	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.55	1.55
8	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.43	1.43
9	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.94	0.94
10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.68	0.68
11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.42	0.43
12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.16	0.16
13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.04
14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.06
15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.04
