position	CpG_p	CpG_m	CHG_p	CHG_m	CHH_p	CHH_m	Methylation	Base	Total
1	0.03	0.10	0.10	0.06	0.19	0.12	0.61	0.11	0.71
2	0.03	0.04	0.00	0.02	0.04	0.03	0.16	1.17	1.32
3	0.00	0.03	0.01	0.11	0.45	0.38	0.98	1.51	2.49
4	0.01	0.00	0.07	0.00	0.00	0.06	0.14	1.24	1.39
5	0.54	0.01	0.00	0.01	0.02	0.53	1.10	1.95	3.05
6	0.55	0.54	0.00	0.00	0.02	0.00	1.11	1.79	2.90
7	0.54	0.57	0.00	0.00	0.00	0.02	1.13	1.76	2.90
8	0.08	0.54	0.04	0.00	0.49	0.02	1.16	1.95	3.11
9	0.04	0.08	0.01	0.08	0.09	0.00	0.31	0.53	0.84
10	0.05	0.04	0.11	0.03	0.26	0.28	0.78	0.69	1.46
11	0.06	0.05	0.03	0.02	0.08	0.12	0.37	0.39	0.76
12	0.07	0.07	0.04	0.09	0.19	0.11	0.57	0.11	0.68
13	0.05	0.06	0.08	0.04	0.15	0.17	0.54	0.55	1.10
14	0.07	0.05	0.03	0.04	0.08	0.11	0.39	0.27	0.66
15	0.12	0.07	0.09	0.08	0.19	0.21	0.76	0.14	0.90
