position	CpG_p	CpG_m	CHG_p	CHG_m	CHH_p	CHH_m	Methylation	Base	Total
1	0.01	0.00	0.00	0.00	0.00	0.00	0.01	0.18	0.19
2	0.00	0.01	0.00	0.00	0.00	0.00	0.01	0.27	0.28
3	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.42	0.43
4	0.01	0.00	0.00	0.00	0.00	0.00	0.01	1.79	1.81
5	0.00	0.01	0.00	0.00	0.00	0.00	0.01	1.47	1.48
6	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.83	1.83
7	0.00	0.00	0.00	0.01	0.00	0.00	0.01	0.66	0.67
8	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.75	1.75
9	0.01	0.00	0.00	0.00	0.00	0.00	0.01	1.45	1.46
10	0.00	0.01	0.00	0.00	0.00	0.00	0.01	1.75	1.76
11	0.04	0.00	0.00	0.00	0.00	0.00	0.04	1.18	1.22
12	0.02	0.00	0.00	0.00	0.00	0.00	0.02	1.16	1.18
13	0.00	0.02	0.00	0.00	0.00	0.00	0.02	0.45	0.47
14	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.04	0.05
15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.18	0.18
