position	CpG_p	CpG_m	CHG_p	CHG_m	CHH_p	CHH_m	Methylation	Base	Total
1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.14	0.14
2	0.03	0.00	0.00	0.00	0.00	0.00	0.03	0.46	0.49
3	0.04	0.03	0.00	0.00	0.00	0.00	0.07	0.06	0.13
4	0.00	0.04	0.00	0.00	0.00	0.00	0.04	0.56	0.60
5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.12	0.13
6	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.05
7	0.00	0.00	0.00	0.01	0.00	0.00	0.02	0.43	0.44
8	0.03	0.00	0.00	0.00	0.00	0.00	0.03	0.27	0.30
9	0.12	0.03	0.00	0.00	0.00	0.00	0.16	0.28	0.43
10	0.04	0.12	0.00	0.00	0.00	0.00	0.15	0.11	0.26
11	0.00	0.04	0.00	0.00	0.00	0.00	0.04	0.04	0.08
12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.17	0.18
13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.11
