0	1	2	3	4	5	6	7	8	9	10	11	12	13
0	18	9	0	17	0	0	8	0	8	8	16	17	17
17	17	16	8	8	0	8	0	0	17	0	9	18	0
0	13	10	13	13	0	13	11	0	11	11	0	0	10
10	0	0	11	11	0	11	13	0	13	13	10	13	0
8	8	8	8	11	0	7	4	0	9	0	11	0	0
0	0	11	0	9	0	4	7	0	11	8	8	8	8
27	10	27	27	9	0	0	25	0	22	0	9	9	9
0	21	0	0	22	0	0	29	0	29	0	19	19	4
4	19	19	0	29	0	29	0	0	22	0	0	21	0
0	10	10	5	5	0	5	10	0	10	0	4	11	11
11	11	4	0	10	0	10	5	0	5	5	10	10	0
21	6	6	6	31	0	21	6	0	7	0	30	29	0
0	29	30	0	7	0	6	21	0	31	6	6	6	21
0	0	13	0	17	0	13	11	0	14	17	0	13	0
0	13	0	17	14	0	11	13	0	17	0	13	0	0
0	0	0	10	10	0	6	6	0	10	0	0	6	5
5	6	0	0	10	0	6	6	0	10	10	0	0	0
21	0	21	0	2	0	0	22	0	22	22	0	22	22
0	0	0	1	20	0	22	1	0	1	1	24	0	1
1	0	24	1	1	0	1	22	0	20	1	0	0	0
14	0	4	0	12	0	12	0	0	5	0	12	3	0
0	3	12	0	5	0	0	12	0	12	0	4	0	14
0	8	6	0	7	0	7	7	0	7	7	0	6	7
0	10	10	11	13	0	0	12	0	12	0	12	0	0
0	0	12	0	12	0	12	0	0	13	11	10	10	0
2	12	26	26	26	0	6	6	0	11	0	0	11	11
5	17	0	0	5	0	5	17	0	17	17	17	5	0
0	5	17	17	17	0	17	5	0	5	0	0	17	5
0	5	9	0	9	0	0	23	0	23	0	6	6	6
0	8	38	0	38	0	38	8	0	8	0	8	0	38
21	21	0	0	25	0	3	16	0	21	20	26	0	0
0	0	26	20	21	0	16	3	0	25	0	0	21	21
0	13	4	0	13	0	0	4	0	3	0	0	0	11
11	0	0	0	3	0	4	0	0	13	0	4	13	0
0	23	23	0	14	0	8	5	0	21	21	21	21	0
0	21	21	21	21	0	5	8	0	14	0	23	23	0
15	23	0	23	23	0	0	18	0	20	0	19	0	20
0	34	34	0	39	0	0	33	0	33	0	40	0	0
0	0	40	0	33	0	33	0	0	39	0	34	34	0
0	28	28	0	41	0	0	28	0	28	0	37	0	0
0	0	37	0	28	0	28	0	0	41	0	28	28	0
0	0	0	0	18	0	18	0	0	14	0	19	0	0
0	0	19	0	14	0	0	18	0	18	0	0	0	0
22	0	12	0	22	0	21	0	0	12	0	12	0	0
0	0	12	0	12	0	0	21	0	22	0	12	0	22
33	29	29	0	34	0	0	31	0	31	0	0	0	31
0	31	30	29	65	0	0	29	0	28	0	0	68	68
26	0	25	25	36	0	13	21	0	25	25	41	42	42
42	42	41	25	25	0	21	13	0	36	25	25	0	26
16	13	33	24	26	0	27	28	0	33	0	28	29	28
28	29	28	0	33	0	28	27	0	26	24	33	13	16
0	0	0	0	38	0	0	28	0	29	0	35	30	0
0	39	0	39	42	0	0	28	0	28	0	43	44	0
0	20	19	19	19	0	0	21	0	21	0	20	20	19
19	19	19	20	0	0	20	19	0	17	0	18	18	0
0	0	0	38	38	0	0	18	0	18	0	0	0	38
42	3	15	0	22	0	20	0	0	29	0	20	20	20
20	20	20	0	29	0	0	20	0	22	0	15	3	42
14	52	55	0	41	0	42	0	0	52	0	52	43	0
0	43	52	0	52	0	0	42	0	41	0	55	52	14
24	0	22	0	25	0	25	0	0	24	0	0	26	0
0	26	0	0	24	0	0	25	0	25	0	22	0	24
0	33	33	0	5	0	7	0	0	35	6	7	7	0
0	7	7	6	35	0	0	7	0	5	0	33	33	0
0	0	0	0	10	0	10	18	0	17	0	0	18	0
0	18	0	0	17	0	18	10	0	10	0	0	0	0
19	19	17	12	12	0	12	19	0	19	11	19	10	10
10	10	19	11	19	0	19	12	0	12	12	17	19	19
13	13	20	13	13	0	13	22	0	22	0	13	22	22
22	22	13	0	22	0	22	13	0	13	13	20	13	13
20	0	0	0	20	0	0	24	0	24	0	0	10	10
0	0	20	18	18	0	18	18	0	20	0	16	16	0
0	16	16	0	20	0	18	18	0	18	18	20	0	0
16	15	15	0	9	0	8	15	0	15	0	0	8	8
8	8	0	0	15	0	15	8	0	9	0	15	15	16
45	33	33	0	32	0	32	44	0	42	0	0	0	0
0	59	55	0	38	0	0	61	0	62	0	38	0	59
0	29	34	0	35	0	0	34	0	35	0	31	27	27
22	0	27	19	18	0	0	25	0	23	0	18	0	0
0	38	38	0	18	0	4	4	0	37	0	20	20	0
0	20	20	0	37	0	4	4	0	18	0	38	38	0
26	35	35	0	26	0	26	34	0	35	0	22	22	21
21	22	22	0	35	0	34	26	0	26	0	35	35	26
30	0	0	0	16	0	16	29	0	30	30	0	15	0
0	15	0	30	30	0	29	16	0	16	0	0	0	30
19	24	19	19	18	0	18	33	0	33	0	19	0	29
13	13	0	14	12	0	12	12	0	14	12	20	0	0
0	0	20	12	14	0	12	12	0	12	14	0	13	13
11	11	11	12	10	0	12	11	0	11	0	15	14	11
11	14	15	0	11	0	11	12	0	10	12	11	11	11
16	0	13	0	16	0	16	13	0	13	0	13	13	16
16	13	13	0	13	0	13	16	0	16	0	13	0	16
4	33	24	31	31	0	0	28	0	29	0	33	0	0
0	22	21	0	11	0	20	0	0	24	0	20	20	0
0	20	20	0	24	0	0	20	0	11	0	21	22	0
31	31	31	0	24	0	0	31	0	29	29	36	0	0
0	0	36	29	29	0	31	0	0	24	0	31	31	31
0	29	28	0	20	0	0	29	0	29	0	21	0	20
0	22	24	0	33	0	0	25	0	25	0	33	0	33
33	0	33	0	25	0	25	0	0	33	0	24	22	0
32	0	32	37	36	0	38	34	0	32	0	39	0	39
39	0	39	0	32	0	34	38	0	36	37	32	0	32
0	31	31	31	43	0	0	28	0	29	0	48	49	49
26	25	0	0	35	0	20	20	0	19	0	35	36	0
0	36	35	0	19	0	20	20	0	35	0	0	25	26
0	29	32	0	30	0	0	31	0	31	0	32	31	0
0	31	32	0	31	0	31	0	0	30	0	32	29	0
0	0	36	0	43	0	43	43	0	41	0	43	43	0
0	43	43	0	41	0	43	43	0	43	0	36	0	0
38	0	0	0	41	0	21	11	0	37	39	39	13	9
9	13	39	39	37	0	11	21	0	41	0	0	0	38
0	25	25	25	32	0	0	23	0	22	36	36	0	22
0	44	0	20	20	0	0	0	0	45	0	26	0	0
0	27	26	0	24	0	23	23	0	25	0	25	23	25
25	23	25	0	25	0	23	23	0	24	0	26	27	0
0	35	29	35	21	0	0	35	0	35	0	23	0	22
30	31	0	0	15	0	15	0	0	30	0	16	0	0
0	0	16	0	30	0	0	15	0	15	0	0	31	30
35	0	67	37	39	0	0	63	0	66	0	41	0	0
0	45	45	45	16	0	0	47	0	46	0	19	21	0
0	21	19	0	46	0	47	0	0	16	45	45	45	0
45	2	45	0	2	0	2	41	0	41	0	2	0	2
2	0	2	0	41	0	41	2	0	2	0	45	2	45
21	0	20	0	18	0	18	20	0	20	0	18	21	22
22	21	18	0	20	0	20	18	0	18	0	20	0	21
24	0	13	13	24	0	24	13	0	13	0	0	13	25
25	13	0	0	13	0	13	24	0	24	13	13	0	24
42	0	25	0	44	0	44	0	0	22	0	44	44	0
0	44	44	0	22	0	0	44	0	44	0	25	0	42
30	29	0	30	29	0	7	12	0	28	0	0	27	0
20	1	1	19	20	0	20	0	0	19	0	23	20	0
0	20	23	0	19	0	0	20	0	20	19	1	1	20
16	0	23	0	19	0	0	22	0	20	23	0	19	0
24	24	4	22	23	0	23	5	0	5	0	24	0	0
0	0	24	0	5	0	5	23	0	23	22	4	24	24
19	19	20	20	20	0	0	19	0	19	0	21	22	0
27	27	30	0	27	0	27	0	0	29	0	26	26	0
0	26	26	0	29	0	0	27	0	27	0	30	27	27
31	31	31	26	27	0	0	31	31	31	0	27	0	29
28	27	28	0	24	0	28	27	0	27	0	24	0	0
0	0	24	0	27	0	27	28	0	24	0	28	27	28
0	50	51	0	26	0	4	10	0	50	49	0	25	0
0	25	0	49	50	0	10	4	0	26	0	51	50	0
17	0	0	0	47	0	0	16	0	18	0	46	0	18
18	0	46	0	18	0	16	0	0	47	0	0	0	17
0	44	42	0	39	0	33	35	0	43	0	39	0	40
40	0	39	0	43	0	35	33	0	39	0	42	44	0
0	24	24	0	22	0	0	35	0	35	0	26	26	0
22	12	12	0	12	0	0	20	0	20	0	12	12	0
0	0	27	20	24	0	17	26	0	30	24	0	25	0
0	25	0	24	30	0	26	17	0	24	20	27	0	0
0	39	38	0	29	0	29	0	0	44	0	30	36	0
0	36	30	0	44	0	0	29	0	29	0	38	39	0
37	0	28	37	37	0	0	26	0	17	0	36	0	17
0	24	24	0	31	0	32	32	0	21	0	32	32	31
31	32	32	0	21	0	32	32	0	31	0	24	24	0
45	43	0	0	25	0	42	42	0	42	0	24	24	24
0	52	53	31	31	0	0	47	0	44	0	0	0	0
0	17	0	21	16	0	0	20	0	20	0	18	0	20
0	0	37	0	44	0	44	0	0	37	35	45	43	0
0	43	45	35	37	0	0	44	0	44	0	37	0	0
0	15	0	15	18	0	16	7	0	14	20	19	19	18
18	19	19	20	14	0	7	16	0	18	15	0	15	0
0	0	30	0	53	0	49	0	0	31	0	47	48	49
49	48	47	0	31	0	0	49	0	53	0	30	0	0
0	43	43	0	39	0	39	0	0	40	0	0	39	37
37	39	0	0	40	0	0	39	0	39	0	43	43	0
0	49	52	0	27	0	52	53	0	43	0	26	0	40
40	0	26	0	43	0	53	52	0	27	0	52	49	0
0	0	32	32	33	0	0	31	0	30	0	31	37	0
0	0	30	0	33	0	33	0	0	24	24	33	33	0
0	33	33	24	24	0	0	33	0	33	0	30	0	0
0	19	19	0	14	0	0	17	0	16	15	16	15	0
0	15	16	15	16	0	17	0	0	14	0	19	19	0
26	26	22	0	15	0	0	22	0	21	0	0	20	0
0	20	0	0	21	0	22	0	0	15	0	22	26	26
0	6	7	0	2	0	7	3	0	7	0	3	3	3
3	3	3	0	7	0	3	7	0	2	0	7	6	0
28	0	41	0	28	0	26	32	0	36	0	0	39	35
35	39	0	0	36	0	32	26	0	28	0	41	0	28
38	0	60	0	58	0	60	38	0	39	0	0	0	42
42	0	0	0	39	0	38	60	0	58	0	60	0	38
24	27	0	0	28	0	0	26	0	25	0	27	27	25
25	27	27	0	25	0	26	0	0	28	0	0	27	24
0	0	0	0	38	0	38	0	0	31	0	34	36	0
0	36	34	0	31	0	0	38	0	38	0	0	0	0
0	0	0	0	29	0	0	15	0	15	15	30	30	0
0	30	30	15	15	0	15	0	0	29	0	0	0	0
12	0	0	11	11	0	12	13	0	14	14	13	14	14
14	14	13	14	14	0	13	12	0	11	11	0	0	12
0	57	0	15	15	0	0	49	0	46	0	15	0	45
0	41	41	0	27	0	0	41	0	40	0	26	27	27
27	27	26	0	40	0	41	0	0	27	0	41	41	0
0	80	80	0	32	0	0	80	0	76	0	39	39	40
40	39	39	0	76	0	80	0	0	32	0	80	80	0
13	21	0	13	21	0	21	13	0	13	0	21	13	12
0	12	5	5	5	0	5	12	0	12	0	5	5	5
0	11	1	0	11	0	10	0	0	1	0	11	9	1
1	9	11	0	1	0	0	10	0	11	0	1	11	0
0	18	18	0	50	0	0	14	0	12	51	0	14	0
15	0	15	0	32	0	15	15	0	13	0	31	0	12
12	0	31	0	13	0	15	15	0	32	0	15	0	15
31	30	30	0	41	0	4	2	0	28	0	40	38	0
0	38	40	0	28	0	2	4	0	41	0	30	30	31
40	0	13	39	42	0	43	0	0	13	0	43	38	42
42	38	43	0	13	0	0	43	0	42	39	13	0	40
0	0	33	37	38	0	0	34	0	35	0	28	0	45
13	12	0	17	12	0	13	17	0	17	0	11	12	17
17	12	11	0	17	0	17	13	0	12	17	0	12	13
0	14	14	0	20	0	0	14	0	14	13	13	0	13
15	24	0	24	24	0	0	25	0	26	0	26	27	26
0	39	37	0	47	0	0	37	0	36	0	47	44	42
42	44	47	0	36	0	37	0	0	47	0	37	39	0
20	12	2	1	2	0	2	11	0	11	11	1	1	0
0	28	27	27	17	0	0	32	0	31	0	0	0	19
0	14	13	9	9	0	0	22	0	22	0	0	9	0
32	19	0	0	19	0	20	21	0	31	0	17	0	0
17	1	1	1	16	0	1	1	0	1	0	7	1	7
0	0	53	53	30	0	0	57	0	52	0	31	31	31
44	0	0	0	44	0	0	20	0	20	20	44	45	0
0	49	0	0	16	0	5	16	0	48	0	15	16	0
0	16	15	0	48	0	16	5	0	16	0	0	49	0
41	40	39	0	35	0	35	39	0	34	0	33	0	0
0	0	33	0	34	0	39	35	0	35	0	39	40	41
33	47	32	47	0	0	0	33	0	34	0	39	35	0
29	0	29	29	39	29	40	29	0	29	0	41	41	0
24	23	23	0	21	0	0	24	0	24	22	0	22	0
0	22	0	22	24	0	24	0	0	21	0	23	23	24
21	0	22	13	13	0	23	23	0	23	0	13	13	0
0	25	25	0	30	0	15	29	0	34	0	31	0	0
0	0	31	0	34	0	29	15	0	30	0	25	25	0
0	9	3	3	3	0	10	9	0	10	0	3	0	0
24	26	27	0	51	0	0	27	0	27	55	0	56	0
0	24	24	0	33	0	4	3	0	25	0	32	32	33
33	32	32	0	25	0	3	4	0	33	0	24	24	0
19	19	0	44	50	0	13	10	0	19	18	2	0	8
8	0	2	18	19	0	10	13	0	50	44	0	19	19
