position	CpG_p	CpG_m	CHG_p	CHG_m	CHH_p	CHH_m	Methylation	Base	Total
1	0.04	0.11	0.10	0.06	0.19	0.12	0.61	0.11	0.72
2	0.03	0.04	0.00	0.02	0.04	0.03	0.16	1.17	1.32
3	0.00	0.03	0.01	0.11	0.45	0.37	0.97	1.51	2.48
4	0.01	0.00	0.07	0.00	0.00	0.06	0.14	1.24	1.38
5	0.53	0.01	0.00	0.01	0.02	0.53	1.09	1.95	3.04
6	0.58	0.53	0.00	0.00	0.02	0.00	1.13	1.79	2.92
7	0.53	0.54	0.00	0.00	0.00	0.02	1.10	1.76	2.86
8	0.08	0.53	0.04	0.00	0.46	0.02	1.13	1.95	3.08
9	0.04	0.08	0.01	0.08	0.09	0.00	0.30	0.53	0.83
10	0.05	0.04	0.11	0.03	0.26	0.28	0.77	0.69	1.46
11	0.06	0.05	0.03	0.02	0.09	0.12	0.37	0.39	0.76
12	0.07	0.06	0.04	0.09	0.19	0.12	0.55	0.11	0.66
13	0.05	0.06	0.08	0.03	0.15	0.17	0.54	0.55	1.10
14	0.07	0.05	0.03	0.04	0.08	0.11	0.39	0.27	0.66
15	0.12	0.07	0.09	0.08	0.19	0.21	0.76	0.14	0.90
