position	CpG_p	CpG_m	CHG_p	CHG_m	CHH_p	CHH_m	Methylation	Base	Total
1	0.00	0.02	0.00	0.00	0.00	0.00	0.03	0.41	0.44
2	0.01	0.00	0.00	0.00	0.00	0.00	0.02	0.45	0.46
3	0.00	0.01	0.00	0.00	0.00	0.00	0.01	0.43	0.45
4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.28	2.28
5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.75	1.75
6	0.32	0.00	0.00	0.00	0.00	0.00	0.32	2.29	2.60
7	0.00	0.31	0.00	0.00	0.00	0.00	0.31	1.03	1.34
8	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.74	1.74
9	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.27	2.27
10	0.01	0.00	0.00	0.00	0.00	0.00	0.01	0.83	0.85
