position	CpG_p	CpG_m	CHG_p	CHG_m	CHH_p	CHH_m	Methylation	Base	Total
1	0.01	0.01	0.00	0.00	0.00	0.00	0.02	0.04	0.05
2	0.00	0.01	0.00	0.00	0.00	0.00	0.01	0.04	0.05
3	0.00	0.01	0.00	0.00	0.00	0.00	0.01	0.67	0.68
4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.66	1.66
5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.69	1.69
6	0.07	0.00	0.00	0.00	0.00	0.00	0.08	1.48	1.55
7	0.00	0.07	0.00	0.00	0.00	0.00	0.07	1.52	1.59
8	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.78	1.79
9	0.02	0.00	0.00	0.00	0.00	0.00	0.02	1.62	1.64
10	0.00	0.02	0.00	0.00	0.00	0.00	0.02	0.29	0.31
11	0.01	0.00	0.00	0.00	0.00	0.00	0.01	0.03	0.04
12	0.01	0.00	0.00	0.00	0.00	0.00	0.01	0.07	0.08
