position	CpG_p	CpG_m	CHG_p	CHG_m	CHH_p	CHH_m	Methylation	Base	Total
1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.10
2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.42	0.42
3	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.54	0.55
4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.49	1.50
5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.75	1.75
6	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.52	1.52
7	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.92	0.92
8	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.44	1.44
9	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.73	1.73
10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.45	1.45
11	0.00	0.00	0.00	0.01	0.00	0.00	0.01	1.42	1.43
12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.44	1.44
13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.31	0.31
14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.06
