position	CpG_p	CpG_m	CHG_p	CHG_m	CHH_p	CHH_m	Methylation	Base	Total
1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.35	0.35
2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.21	0.22
3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.48	0.48
4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.72	1.72
5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.63	0.63
6	0.01	0.00	0.00	0.00	0.00	0.00	0.01	1.21	1.22
7	0.00	0.01	0.00	0.00	0.00	0.00	0.01	1.02	1.03
8	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.55	1.55
9	0.01	0.00	0.00	0.00	0.00	0.00	0.01	1.14	1.15
10	0.00	0.01	0.00	0.00	0.00	0.00	0.01	1.58	1.59
11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.01	2.01
12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.85	1.85
13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.65	0.65
14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.45	0.45
15	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.09	0.10
