position	CpG_p	CpG_m	CHG_p	CHG_m	CHH_p	CHH_m	Methylation	Base	Total
1	0.00	0.01	0.00	0.00	0.00	0.00	0.01	0.21	0.22
2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.87	0.87
3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.76	1.76
4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.76	1.76
5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.69	1.69
6	0.00	0.55	0.00	0.00	0.00	0.03	0.58	2.30	2.88
7	0.07	0.00	0.00	0.00	0.00	0.00	0.07	0.52	0.59
8	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.68	0.68
9	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.01	1.01
10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.76	1.76
11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.90	0.90
