position	CpG_p	CpG_m	CHG_p	CHG_m	CHH_p	CHH_m	Methylation	Base	Total
1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.10
2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.41	0.41
3	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.53	0.54
4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.51	1.51
5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.73	1.73
6	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.53	1.54
7	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.91	0.91
8	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.46	1.46
9	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.72	1.72
10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.46	1.46
11	0.00	0.00	0.00	0.01	0.00	0.00	0.01	1.41	1.42
12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.42	1.43
13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.32	0.32
14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.06
