position	CpG_p	CpG_m	CHG_p	CHG_m	CHH_p	CHH_m	Methylation	Base	Total
1	0.09	0.08	0.00	0.00	0.00	0.00	0.17	0.12	0.30
2	0.11	0.08	0.00	0.00	0.00	0.00	0.19	0.23	0.42
3	0.00	0.08	0.00	0.00	0.00	0.00	0.09	0.43	0.51
4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.70	1.70
5	0.01	0.00	0.00	0.00	0.00	0.00	0.01	2.08	2.09
6	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.69	1.69
7	0.02	0.00	0.01	0.01	0.00	0.00	0.03	0.99	1.02
8	0.00	0.02	0.00	0.00	0.00	0.00	0.02	1.56	1.58
9	0.01	0.03	0.00	0.00	0.00	0.00	0.04	2.06	2.10
10	0.00	0.01	0.00	0.00	0.00	0.00	0.01	1.64	1.65
11	0.08	0.00	0.00	0.00	0.00	0.00	0.09	0.43	0.51
12	0.08	0.08	0.00	0.00	0.00	0.00	0.16	0.23	0.39
13	0.08	0.07	0.00	0.00	0.00	0.00	0.16	0.14	0.30
